pid,name,cpu_percent,memory_percent,num_threads,num_connections,is_suspicious
4076,svchost.exe,0.0,0.16300820914347997,5,1,0
4080,svchost.exe,0.0,0.04454723258341213,3,0,0
4104,MpDefenderCoreService.exe,0.0,0.17517204282439724,9,0,0
4200,svchost.exe,0.0,0.0572566735798323,9,0,0
4216,MsMpEng.exe,0.0,1.8623182405512047,30,0,0
4240,svchost.exe,0.0,0.04287831608893271,2,0,0
4296,chrome.exe,15.5,1.5896429609916445,44,2,0
4336,RuntimeBroker.exe,0.0,0.1404457419200371,2,0,0
4360,conhost.exe,0.0,0.08736135957640331,2,0,0
4392,SearchApp.exe,0.0,1.6269368257336654,37,0,0
4428,conhost.exe,0.0,0.0666603761352644,3,0,0
4536,msedge.exe,0.0,0.06020937199314204,7,0,0
4560,Code.exe,0.0,0.6951358144986479,20,0,0
4568,svchost.exe,0.0,0.060562412020820376,7,8,0
4656,SearchApp.exe,0.0,0.5263826812684022,12,0,0
4668,Microsoft.SharePoint.exe,0.0,0.023043885443004255,13,1,0
4728,Code.exe,0.0,0.9973059836433346,35,0,0
4764,conhost.exe,0.0,0.05250668048016011,5,0,0
4776,svchost.exe,0.0,0.15906057974307672,9,2,0
4788,svchost.exe,0.0,0.07256577296188388,6,0,0
4828,svchost.exe,0.0,0.10283093169830868,12,0,0
4980,SearchIndexer.exe,0.0,0.38898592140558713,20,0,0
5028,MoUsoCoreWorker.exe,0.0,0.5398302968681499,13,0,0
5148,dllhost.exe,0.0,0.09175831264839716,4,0,0
5308,svchost.exe,0.0,0.13649811251963384,8,0,0
5312,winlogon.exe,0.0,0.08306069014832174,5,0,0
5480,msedgewebview2.exe,0.0,0.5662120153001129,27,0,0
5564,chrome.exe,0.0,0.815554558484932,23,0,0
5712,msedge.exe,0.0,0.25588983097085366,16,0,0
5904,chrome.exe,0.0,0.2494388268287313,12,0,0
6044,svchost.exe,0.0,0.06678875432714743,7,0,0
6056,powershell.exe,0.0,0.5211512699491686,9,0,0
6112,WmiPrvSE.exe,0.0,0.10575153556364766,3,0,0
6180,Code.exe,0.0,0.7086476191943369,19,0,0
6368,UserOOBEBroker.exe,0.0,0.07895258800806472,2,0,0
6476,TextInputHost.exe,0.0,0.33224276059328695,10,0,0
6596,svchost.exe,0.0,0.09024986889377154,11,0,0
6704,igfxTray.exe,0.0,0.09464682196576538,2,0,0
6780,taskhostw.exe,0.0,0.13768561079455188,4,0,0
6836,OneDrive.exe,0.0,0.7787100174145017,25,0,0
6868,powershell.exe,0.0,0.48697057636031144,9,0,0
6956,Code.exe,0.0,0.901214907018885,56,0,0
7084,Code.exe,0.0,3.4970219468937933,22,2,0
7144,powershell.exe,0.0,0.5277948413791156,9,0,0
7448,wuauclt.exe,0.0,0.3186025777057148,5,0,0
7640,msedgewebview2.exe,0.0,0.7832032541304079,52,0,0
7784,svchost.exe,0.0,0.06460632506513589,3,0,0
8200,Canva.exe,0.0,0.44402807117543713,12,1,0
8276,msedgewebview2.exe,0.0,0.3008221981299149,18,0,0
8304,svchost.exe,0.0,0.15270585924486663,11,0,0
8428,svchost.exe,0.0,0.10668227745479965,6,0,0
8444,svchost.exe,0.0,0.15607578678179623,5,0,0
8488,RuntimeBroker.exe,0.0,0.24436788824935152,7,0,0
8704,ShellExperienceHost.exe,0.0,0.4366784196901336,9,0,0
8752,igfxEM.exe,0.0,0.107163695674361,4,0,0
9000,conhost.exe,0.0,0.06216713941935828,2,0,0
9080,svchost.exe,0.0,0.052602964124072386,3,0,0
9128,SrTasks.exe,0.0,0.22004022088751696,2,0,0
9152,svchost.exe,0.0,0.2248223085351599,3,0,0
9404,svchost.exe,0.0,0.6364348862601314,26,0,0
9648,msedgewebview2.exe,0.0,0.061589437555884634,8,0,0
9752,powershell.exe,0.0,0.4853337544138027,9,0,0
9796,conhost.exe,0.0,0.05141546584915434,5,0,0
9836,SecurityHealthSystray.exe,0.0,0.07494076951171998,1,0,0
9924,explorer.exe,0.0,1.1634915530359196,106,0,0
10004,Code.exe,0.0,2.961107184878076,15,2,0
10016,Canva.exe,0.0,0.22613818500196095,7,0,0
10088,dwm.exe,35.0,0.42069533480069604,14,0,0
10104,svchost.exe,0.0,0.08453703935497661,8,0,0
10168,powershell.exe,0.0,0.747770873170691,9,0,0
10204,sihost.exe,0.0,0.24058073158880208,12,0,0
10344,svchost.exe,0.0,0.060947546596469476,5,0,0
10416,powershell.exe,0.0,0.5165617495893502,9,0,0
10564,fontdrvhost.exe,0.0,0.04403371981588,5,0,0
10740,Code.exe,15.2,1.4519894447450634,26,0,0
10868,RuntimeBroker.exe,0.0,0.25698104560185947,13,0,0
10940,svchost.exe,0.0,0.2885941753530561,7,0,0
10980,chrome.exe,0.0,0.08068569359848565,8,0,0
11280,TrustedInstaller.exe,0.0,0.06752692893047486,5,0,0
11312,msedgewebview2.exe,0.0,1.11185142535097,18,0,0
11328,conhost.exe,0.0,0.050901953081622216,5,0,0
11376,svchost.exe,0.0,0.07221273293420553,5,0,0
11556,conhost.exe,0.0,0.05115870946538828,5,0,0
11608,pet.exe,0.0,0.0596316701296684,1,0,0
11624,WsToastNotification.exe,0.0,0.09894749139384695,9,1,0
11648,msedge.exe,0.0,0.8161964494443471,47,0,0
12056,WmiPrvSE.exe,0.0,0.08877351968711666,7,0,0
12152,powershell.exe,0.0,0.5889991443593511,9,0,0
12172,Code.exe,0.0,0.3495738164974963,15,8,0
12252,conhost.exe,0.0,0.04920094203917204,5,0,0
12564,svchost.exe,0.0,0.0654407833123756,1,0,0
12604,python.exe,0.0,0.026863136651524462,3,0,0
12608,chrome.exe,0.0,0.36879845073198037,17,22,0
12924,smartscreen.exe,0.0,0.1866939855458994,6,0,0
12944,chrome.exe,0.0,0.5533100070158682,13,0,0
13092,chrome.exe,0.0,8.783700077732995,17,0,0
10000,suspicious_0.exe,75.54746361965458,39.531339082117306,28,14,1
10001,suspicious_1.exe,71.28644037535237,58.87365636235048,14,12,1
10002,suspicious_2.exe,73.81409437244754,53.238317831998614,14,12,1
10003,suspicious_3.exe,89.56616702037846,56.150592562761325,20,5,1
10004,suspicious_4.exe,95.33072123975566,35.684338955879575,26,10,1
10005,suspicious_5.exe,88.60781725386333,45.41233420588809,23,6,1
10006,suspicious_6.exe,86.54491444851827,46.47007631218858,14,10,1
10007,suspicious_7.exe,71.6473773890807,33.95036177315812,26,13,1
10008,suspicious_8.exe,78.01901393338827,44.37447992706244,14,10,1
10009,suspicious_9.exe,78.32859202779572,40.464856227507596,24,5,1
10010,suspicious_10.exe,93.90171372463227,51.000116177877956,16,15,1
10011,suspicious_11.exe,89.85302094047775,30.354967879512863,21,14,1
